id,cruise,set_number,new_station,experiment_type,shrimp_management,light_intensity,start_date,start_latitude_DD,start_latitude_MMmm,start_longitude_DD,start_longitude_MMmm,start_depth_m,end_date,end_latitude_DD,end_latitude_MMmm,end_longitude_DD,end_longitude_MMmm,end_depth_m,bridge,recorder,remarks,gear_type,auxiliary_equipment,trawl_retention_cable,trawl_cable_length,trawl_opening,port_warp,starboard_warp,warp_units_code,ship_direction,ship_speed,ship_speed_obtained_code,distance_towed,distance_towed_obtained_code,trawling_unit,shrimp_fishing_unit,set_duration,set_result,barometer,air_temperature_celsius,cloud_coverage_code,precipitation,weather_code,sea_code,swell_height_code,swell_period,wave_period,swell_direction,wave_height,wind_direction_degree,wind_direction_code,wind_force_kts,wind_force_code,tide_direction_code,is_opened,is_active,duration,track_distance,crow_distance,creation_date,created_by,last_modified_date,last_modified_by,cruise_id,new_station_id,experiment_type_id,shrimp_management_id,light_intensity_id,gear_type_id,auxiliary_equipment_id,set_result_id,swell_period_id,wave_period_id,created_by_id,last_modified_by_id
96,2021 Gulf Region Ecosystem Comparative Survey (CJC-2021-222),1,Station Halifax Hydro (AZMP) || Stratum 460,7 - Gear testing,,,2021-08-29 16:00:05+00:00,44,15.899000000000038,-63,19.15099999999996,160.0,2021-08-29 17:33:10+00:00,44,15.89599999999967,-63,19.148000000000078,160.0,999,Carol Dudfield,,23 - Northeast Fisheries Science Center Ecosystem Survey Trawl (NEST),2 - Rollers plus Codend only - no liners,,,,0,0,1,0,0.0,4,0.0,4,,,,1 - NORMAL - No damage to gear,999.0,19.9,8,,3,1,1,,,,,333.0,9,8.0,4,,False,False,93.08,1.01,0.0,2021-08-28 11:28:22.751000+00:00,francois,2021-09-06 22:47:15.955000+00:00,francois,16,2576,5,,,2,3,1,,,16,16
100,2021 Gulf Region Ecosystem Comparative Survey (CJC-2021-222),2,Station 091 (Primary) || Stratum 425,5 - Comparative fishing experiment,,,2021-08-31 17:17:48+00:00,48,24.278999999999996,-62,13.614000000000033,345.0,2021-08-31 17:39:09+00:00,48,24.276000000000295,-62,15.019999999999982,345.0,Larry Terry,Francois Turcotte,,23 - Northeast Fisheries Science Center Ecosystem Survey Trawl (NEST),2 - Rollers plus Codend only - no liners,,,,778,778,1,270,2.9,4,1.15,4,,,,1 - NORMAL - No damage to gear,1001.4,17.6,3,,46,1,0,,,,,225.0,7,5.0,3,,False,False,21.35,0.9,0.94,2021-08-31 14:26:27.490000+00:00,francois,2021-08-31 21:42:19.542000+00:00,francois,16,1871,2,,,2,3,1,,,16,16
101,2021 Gulf Region Ecosystem Comparative Survey (CJC-2021-222),3,Station 097 (Primary) || Stratum 426,9 - Hydrography,,,2021-08-31 21:02:28+00:00,48,16.64,-62,13.26,117.0,2021-08-31 21:13:28+00:00,48,16.67,-62,13.34,118.0,999,Francois Turcotte,Teleost set 23,23 - Northeast Fisheries Science Center Ecosystem Survey Trawl (NEST),2 - Rollers plus Codend only - no liners,,,,0,0,1,0,0.0,4,0.0,4,,,,1 - NORMAL - No damage to gear,1002.1,16.6,4,,45,1,0,,,,,17.0,2,9.0,4,,False,False,11.0,0.08,0.06,2021-08-31 19:15:03.997000+00:00,francois,2021-09-06 22:47:41.095000+00:00,francois,16,1877,4,,,2,3,1,,,16,16
102,2021 Gulf Region Ecosystem Comparative Survey (CJC-2021-222),4,Station 319 (Alternate 2) || Stratum 425,9 - Hydrography,,,2021-09-01 00:15:00+00:00,48,18.61,-61,55.98,296.4,2021-09-01 00:48:03+00:00,48,18.859999999999612,-61,56.25,297.5,999,Francois Turcotte,,23 - Northeast Fisheries Science Center Ecosystem Survey Trawl (NEST),2 - Rollers plus Codend only - no liners,,,,0,0,1,0,0.0,4,0.0,4,,,,1 - NORMAL - No damage to gear,1002.5,16.9,3,,43,2,2,,,,,21.0,2,5.0,3,,False,False,33.05,0.3,0.31,2021-08-31 22:20:44.610000+00:00,francois,2021-09-06 22:48:02.222000+00:00,francois,16,1732,4,,,2,3,1,,,16,16
104,2021 Gulf Region Ecosystem Comparative Survey (CJC-2021-222),5,Station 322 (Alternate 2) || Stratum 426,5 - Comparative fishing experiment,,4 - dark,2021-09-01 02:58:50+00:00,48,10.11999999999989,-61,37.190000000000055,122.0,2021-09-01 03:17:15+00:00,48,9.407000000000153,-61,35.985999999999876,130.6,Mitchell Longmire,Francois Turcotte,"Scanmar head rope depth sensor malfunction after bottom contact. Trawl remained on bottom until haul back, based on geometry.",23 - Northeast Fisheries Science Center Ecosystem Survey Trawl (NEST),2 - Rollers plus Codend only - no liners,,,,289,289,1,137.4,3.0,4,1.06,4,,,,1 - NORMAL - No damage to gear,1002.6,18.3,2,,43,1,1,,,,,18.0,1,4.0,3,3,False,False,18.42,1.02,1.08,2021-08-31 23:42:53.180000+00:00,kevin,2021-09-06 17:15:08.499000+00:00,francois,16,1735,2,,1,2,3,1,,,28,16
106,2021 Gulf Region Ecosystem Comparative Survey (CJC-2021-222),6,Station 093 (Primary) || Stratum 425,9 - Hydrography,,,2021-09-01 04:30:32+00:00,48,11.34900000000004,-61,35.06399999999994,267.0,2021-09-01 04:58:53+00:00,48,11.34900000000004,-61,35.06399999999994,287.0,999,Julien Gallant,,23 - Northeast Fisheries Science Center Ecosystem Survey Trawl (NEST),2 - Rollers plus Codend only - no liners,,,,0,0,1,0,0.0,4,0.0,4,,,,1 - NORMAL - No damage to gear,1002.5,18.5,2,,1,1,1,,,,,220.0,7,5.0,3,,False,False,28.35,0.6,0.0,2021-09-01 00:57:04.384000+00:00,francois,2021-09-06 22:48:29.594000+00:00,francois,16,1873,4,,,2,3,1,,,16,16
107,2021 Gulf Region Ecosystem Comparative Survey (CJC-2021-222),7,Station 094 (Primary) || Stratum 425,9 - Hydrography,,,2021-09-01 12:30:38+00:00,48,6.65,-61,8.43,,2021-09-01 12:30:43+00:00,48,6.65,-61,8.43,,999,Francois Turcotte,"Rosette cable damage, operator error.",23 - Northeast Fisheries Science Center Ecosystem Survey Trawl (NEST),2 - Rollers plus Codend only - no liners,,,,0,0,1,0,0.0,4,0.0,4,,,,3 - FAILED - Major damage to gear,1003.9,18.2,8,,41,1,0,,,,,175.0,6,7.0,4,,False,False,0.08,,0.0,2021-09-01 06:42:30.956000+00:00,kevin,2021-09-06 22:48:48.399000+00:00,francois,16,1874,4,,,2,3,3,,,28,16
108,2021 Gulf Region Ecosystem Comparative Survey (CJC-2021-222),8,Station 105 (Primary) || Stratum 427,9 - Hydrography,,,2021-09-01 16:01:11+00:00,47,56.171000000000156,-61,7.9280000000003685,69.4,2021-09-01 16:01:16+00:00,47,56.16999999999971,-61,7.926999999999922,69.4,999,Francois Turcotte,"No rosette, CTD only",23 - Northeast Fisheries Science Center Ecosystem Survey Trawl (NEST),2 - Rollers plus Codend only - no liners,,,,0,0,1,0,0.0,4,0.0,4,,,,1 - NORMAL - No damage to gear,1004.2,19.1,7,,41,1,0,,,,,0.0,1,2.0,2,,False,False,0.08,,0.0,2021-09-01 14:47:13.379000+00:00,francois,2021-09-06 22:50:07.260000+00:00,francois,16,1885,4,,,2,3,1,,,16,16
109,2021 Gulf Region Ecosystem Comparative Survey (CJC-2021-222),9,Station 104 (Primary) || Stratum 427,5 - Comparative fishing experiment,,8 - bright but hazy,2021-09-01 17:55:08+00:00,48,0.9600000000000364,-61,18.140000000000327,81.54,2021-09-01 18:15:21+00:00,48,1.5670000000000073,-61,19.416000000000167,82.72,Larry Terry,Francois Turcotte,,23 - Northeast Fisheries Science Center Ecosystem Survey Trawl (NEST),2 - Rollers plus Codend only - no liners,,,,226,227,1,307.3,3.0,4,1.05,4,,,,1 - NORMAL - No damage to gear,1006.2,18.5,4,,41,1,0,,,,,25.0,2,7.0,4,5,False,False,20.22,1.01,1.05,2021-09-01 16:24:41.385000+00:00,dave,2021-09-01 19:31:50.438000+00:00,dave,16,1884,2,,5,2,3,1,,,9,9
110,2021 Gulf Region Ecosystem Comparative Survey (CJC-2021-222),10,Station 103 (Primary) || Stratum 427,5 - Comparative fishing experiment,,8 - bright but hazy,2021-09-01 20:36:10+00:00,47,58.75500000000011,-61,37.10400000000027,60.8,2021-09-01 20:56:44+00:00,47,58.60799999999972,-61,38.65700000000015,59.0,Larry Terry,Francois Turcotte,Ripped the net,23 - Northeast Fisheries Science Center Ecosystem Survey Trawl (NEST),2 - Rollers plus Codend only - no liners,,,,205,205,1,257.3,3.2,4,1.05,4,,,,3 - FAILED - Major damage to gear,1007.4,18.0,8,,4,1,0,,,,,325.0,9,8.0,4,2,False,False,20.57,1.02,1.05,2021-09-01 18:41:12.969000+00:00,dave,2021-09-06 17:24:41.925000+00:00,francois,16,1883,2,,5,2,3,3,,,9,16
