id,cruise,set_number,new_station,experiment_type,shrimp_management,light_intensity,start_date,start_latitude_DD,start_latitude_MMmm,start_longitude_DD,start_longitude_MMmm,start_depth_m,end_date,end_latitude_DD,end_latitude_MMmm,end_longitude_DD,end_longitude_MMmm,end_depth_m,bridge,recorder,remarks,gear_type,auxiliary_equipment,trawl_retention_cable,trawl_cable_length,trawl_opening,port_warp,starboard_warp,warp_units_code,ship_direction,ship_speed,ship_speed_obtained_code,distance_towed,distance_towed_obtained_code,trawling_unit,shrimp_fishing_unit,set_duration,set_result,barometer,air_temperature_celsius,cloud_coverage_code,precipitation,weather_code,sea_code,swell_height_code,swell_period,wave_period,swell_direction,wave_height,wind_direction_degree,wind_direction_code,wind_force_kts,wind_force_code,tide_direction_code,is_opened,is_active,duration,track_distance,crow_distance,creation_date,created_by,last_modified_date,last_modified_by,cruise_id,new_station_id,experiment_type_id,shrimp_management_id,light_intensity_id,gear_type_id,auxiliary_equipment_id,set_result_id,swell_period_id,wave_period_id,created_by_id,last_modified_by_id
111,2021 Gulf Region Ecosystem Survey (TEL-2021-221),1,Station 037 (Primary w/ plankton) || Stratum 419,1 - Stratified random survey set,,8 - bright but hazy,2021-08-28 22:08:13+00:00,47,45.70689999999968,-65,35.44869999999992,30.0,2021-08-28 22:38:17+00:00,47,44.1884,-65,34.175500000000284,27.0,Owen Power,Colette Sullivan,,9 - Western IIA trawl,2 - Rollers plus Codend only - no liners,,,,93,93,1,149,3.5,4,1.74,4,,,,1 - NORMAL - No damage to gear,1025.0,21.0,8,,3,0,0,,,,,270.0,8,10.0,4,3,False,False,30.07,1.74,1.75,2021-08-28 21:13:48.707000+00:00,dave,2021-09-05 17:19:30.529000+00:00,teleost_bridge,15,1817,1,,5,1,3,1,,,9,33
112,2021 Gulf Region Ecosystem Survey (TEL-2021-221),2,Station 036 (Primary) || Stratum 419,1 - Stratified random survey set,,4 - dark,2021-08-29 00:50:18+00:00,47,50.753999999999905,-65,16.845900000000256,70.0,2021-08-29 01:20:28+00:00,47,51.315000000000055,-65,14.371200000000044,69.0,Owen Power,Colette Sullivan,,9 - Western IIA trawl,2 - Rollers plus Codend only - no liners,,,,227,227,1,074,3.5,4,1.76,4,,,,1 - NORMAL - No damage to gear,1025.0,19.1,8,,3,0,0,,,,,274.0,8,8.0,4,2,False,False,30.17,1.75,1.76,2021-08-28 21:49:07.006000+00:00,Janice,2021-09-05 00:18:13.091000+00:00,teleost_bridge,15,1816,1,,1,1,3,1,,,43,33
113,2021 Gulf Region Ecosystem Survey (TEL-2021-221),3,Station 035 (Primary) || Stratum 418,1 - Stratified random survey set,,4 - dark,2021-08-29 02:42:49+00:00,47,53.733999999999924,-65,4.000699999999597,67.0,2021-08-29 03:12:56+00:00,47,54.4384,-65,1.6233000000001994,71.0,Clifford Combden,Colette Sullivan,,9 - Western IIA trawl,2 - Rollers plus Codend only - no liners,,,,218,218,1,070,3.5,4,1.75,4,,,,1 - NORMAL - No damage to gear,1025.0,18.1,8,,3,0,0,,,,,274.0,8,7.3,4,3,False,False,30.12,1.75,1.75,2021-08-29 01:31:59.311000+00:00,Janice,2021-09-02 07:30:19.240000+00:00,teleost_bridge,15,1815,1,,1,1,3,1,,,43,33
114,2021 Gulf Region Ecosystem Survey (TEL-2021-221),4,Station 033 (Primary) || Stratum 418,1 - Stratified random survey set,,4 - dark,2021-08-29 06:40:14+00:00,48,7.311900000000151,-64,33.52819999999974,79.0,2021-08-29 07:10:17+00:00,48,7.890000000000327,-64,36.011499999999614,87.0,Clifford Combden,Colette Sullivan,,9 - Western IIA trawl,2 - Rollers plus Codend only - no liners,,,,254,254,1,287,3.5,4,1.77,4,,,,1 - NORMAL - No damage to gear,1024.0,17.1,7,,3,0,0,,,,,274.0,8,5.4,3,2,False,False,30.05,1.75,1.76,2021-08-29 03:41:06.309000+00:00,sylvie,2021-09-04 23:16:56.668000+00:00,teleost_bridge,15,1813,1,,1,1,3,1,,,15,33
115,2021 Gulf Region Ecosystem Survey (TEL-2021-221),5,Station 031 (Primary) || Stratum 417,1 - Stratified random survey set,,6 - dusk or dawn,2021-08-29 08:46:21+00:00,48,15.441299999999956,-64,26.978399999999965,106.0,2021-08-29 09:16:27+00:00,48,16.746799999999894,-64,25.198399999999765,111.0,Clifford Combden,Colette Sullivan,,9 - Western IIA trawl,2 - Rollers plus Codend only - no liners,,,,318,318,1,043,3.5,4,1.77,4,,,,1 - NORMAL - No damage to gear,1023.0,15.6,5,,3,0,0,,,,,5.0,2,5.5,3,2,False,False,30.1,1.76,1.77,2021-08-29 08:36:04.077000+00:00,sylvie,2021-09-06 02:51:18.948000+00:00,teleost_bridge,15,1811,1,,3,1,3,1,,,15,33
116,2021 Gulf Region Ecosystem Survey (TEL-2021-221),6,Station 032 (Primary) || Stratum 417,1 - Stratified random survey set,,9 - bright sunlight,2021-08-29 10:33:15+00:00,48,16.895100000000184,-64,22.216099999999642,111.0,2021-08-29 11:03:44+00:00,48,18.364700000000084,-64,23.683600000000297,122.0,Clifford Combden,Ross Hefford,,9 - Western IIA trawl,2 - Rollers plus Codend only - no liners,,,,349,349,1,330,3.5,4,0.7,4,,,,1 - NORMAL - No damage to gear,1024.0,16.0,2,,3,0,0,,,,,40.0,3,1.0,2,2,False,False,30.48,1.76,1.77,2021-08-29 08:36:33.118000+00:00,sylvie,2021-09-06 02:51:46.271000+00:00,teleost_bridge,15,1812,1,,6,1,3,1,,,15,33
117,2021 Gulf Region Ecosystem Survey (TEL-2021-221),7,Station 029 (Primary w/ plankton) || Stratum 417,1 - Stratified random survey set,,9 - bright sunlight,2021-08-29 13:11:18+00:00,48,19.242099999999937,-64,9.592299999999796,99.0,2021-08-29 13:41:49+00:00,48,18.111499999999978,-64,7.519399999999678,91.0,Clifford Combden,Ross Hefford,,9 - Western IIA trawl,2 - Rollers plus Codend only - no liners,,,,305,305,1,129,3.5,4,1.72,4,,,,1 - NORMAL - No damage to gear,1024.0,16.9,2,,3,0,0,,,,,90.0,4,2.0,2,1,False,False,30.52,,1.79,2021-08-29 12:30:21.474000+00:00,sylvie,2021-09-06 03:22:05.237000+00:00,teleost_bridge,15,1809,1,,6,1,3,1,,,15,33
118,2021 Gulf Region Ecosystem Survey (TEL-2021-221),8,Station 028 (Primary) || Stratum 416,1 - Stratified random survey set,,9 - bright sunlight,2021-08-29 17:19:42+00:00,48,44.36239999999998,-64,1.0159999999996217,119.0,2021-08-29 17:49:53+00:00,48,42.607,-64,1.383,114.0,Owen Power,Ross Hefford,"3m tear on starboard wing near the codend, likely lost some catch, NULL set
there was major tension on the winches in the middle of the set, suggesting a hangup",9 - Western IIA trawl,2 - Rollers plus Codend only - no liners,,,,377,377,1,189,3.5,4,1.78,4,,,,3 - FAILED - Major damage to gear,1021.0,18.4,3,,3,0,0,,,,,184.0,6,7.0,4,,False,False,30.18,1.77,1.78,2021-08-29 12:47:58.649000+00:00,sylvie,2021-08-29 23:00:42.706000+00:00,Janice,15,1808,1,,6,1,3,3,,,15,43
119,2021 Gulf Region Ecosystem Survey (TEL-2021-221),9,Station 028 (Primary) || Stratum 416,1 - Stratified random survey set,,9 - bright sunlight,2021-08-29 20:24:33+00:00,48,42.93589999999995,-63,59.758000000000266,124.0,2021-08-29 20:50:37+00:00,48,43.26099999999997,-64,2.0300000000002,122.0,Owen Power,Ross Hefford,Brought back after 25 minutes because of rough bottom,9 - Western IIA trawl,2 - Rollers plus Codend only - no liners,,,,388,388,1,281,3.5,4,1.55,4,,,,1 - NORMAL - No damage to gear,1019.0,17.1,5,,4,0,0,,,,,162.0,6,10.0,4,4,False,False,26.07,1.52,1.54,2021-08-29 13:58:10.361000+00:00,sylvie,2021-09-06 03:16:05.542000+00:00,dan,15,1808,1,,6,1,3,1,,,15,13
120,2021 Gulf Region Ecosystem Survey (TEL-2021-221),10,Station 012 (Primary w/ plankton) || Stratum 415,1 - Stratified random survey set,,6 - dusk or dawn,2021-08-29 23:08:35+00:00,49,0.12869999999975335,-64,0.6224000000001979,290.0,2021-08-29 23:38:59+00:00,49,1.8694000000000415,-64,0.46900000000005093,301.0,Owen Power,Colette Sullivan,,9 - Western IIA trawl,2 - Rollers plus Codend only - no liners,,,,841,841,1,001,3.5,4,1.7,4,,,,1 - NORMAL - No damage to gear,1018.0,17.0,7,,3,1,1,,,,,180.0,6,17.0,6,2,False,False,30.4,1.74,1.75,2021-08-29 15:29:24.028000+00:00,dan,2021-09-06 03:23:20.484000+00:00,teleost_bridge,15,1792,1,,3,1,3,1,,,13,33
