uuid,x,y,dot_type,dot_index,specimen_uuid,annotation_uuid
2fd5001b-f789-4666-a3f6-24196378e5e3,912.4120389,932.6526878,Sea: sea age,0,671c2d42-2af7-11ee-be56-0242ac120002,08b69af3-1314-4320-ab87-c79bc8143e5b
f3692880-fbf0-4f02-8dbf-88da5188a87c,820.2447076,804.1946641,Sea: sea age,1,671c2d42-2af7-11ee-be56-0242ac120002,08b69af3-1314-4320-ab87-c79bc8143e5b
b4323765-d232-4ea1-aeaa-0c774fa2daa0,747.0458179,702.1738658,Sea: sea age,2,671c2d42-2af7-11ee-be56-0242ac120002,08b69af3-1314-4320-ab87-c79bc8143e5b
7c80d7db-f55e-479c-8d7f-71eeb72b2245,681.3027819,610.544648,Sea: sea age,3,671c2d42-2af7-11ee-be56-0242ac120002,08b69af3-1314-4320-ab87-c79bc8143e5b
5bf95d48-3169-45d8-b3e8-c2bade0b20d3,658.727868,39.32973066,Edge: otolith edge,17,671c2d42-2af7-11ee-be56-0242ac120002,08b69af3-1314-4320-ab87-c79bc8143e5b
9621e55d-5661-4744-8a26-91f45defff8a,656.8149403,58.64023313,Sea: sea age,16,671c2d42-2af7-11ee-be56-0242ac120002,08b69af3-1314-4320-ab87-c79bc8143e5b
2f539aef-c9ec-4946-b804-9ddea4a84322,654.7698944,79.28443323,Sea: sea age,15,671c2d42-2af7-11ee-be56-0242ac120002,08b69af3-1314-4320-ab87-c79bc8143e5b
c30b6afe-7d99-4aa2-bd25-d4f467b80e80,652.6855189,100.3256557,Sea: sea age,14,671c2d42-2af7-11ee-be56-0242ac120002,08b69af3-1314-4320-ab87-c79bc8143e5b
416b6288-fc71-4b5b-8373-1738a5d798c0,650.1694183,125.7250293,Sea: sea age,13,671c2d42-2af7-11ee-be56-0242ac120002,08b69af3-1314-4320-ab87-c79bc8143e5b
d829ec8d-e4f8-47ff-91b4-88dd4871632f,647.4032107,153.6491677,Sea: sea age,12,671c2d42-2af7-11ee-be56-0242ac120002,08b69af3-1314-4320-ab87-c79bc8143e5b
744f58e5-380a-4829-b9e1-e28c25919c33,644.5931857,182.015631,Sea: sea age,11,671c2d42-2af7-11ee-be56-0242ac120002,08b69af3-1314-4320-ab87-c79bc8143e5b
72d4a05b-074b-412d-b6ef-3339ab750035,640.179638,226.5692339,Sea: sea age,10,671c2d42-2af7-11ee-be56-0242ac120002,08b69af3-1314-4320-ab87-c79bc8143e5b
d106ff50-8d86-4184-99dd-56c7e4885752,635.7651894,271.1319319,Sea: sea age,9,671c2d42-2af7-11ee-be56-0242ac120002,08b69af3-1314-4320-ab87-c79bc8143e5b
42713b9e-fa62-4e26-b7e7-cebd929fc80c,631.6316096,312.8593329,Sea: sea age,8,671c2d42-2af7-11ee-be56-0242ac120002,08b69af3-1314-4320-ab87-c79bc8143e5b
e26f5ff4-b41f-44fb-9730-dbf10a7d63e5,626.9325841,360.2947588,Sea: sea age,7,671c2d42-2af7-11ee-be56-0242ac120002,08b69af3-1314-4320-ab87-c79bc8143e5b
6d785b61-d4c8-4cf3-8ef9-58564a3b4559,622.4806244,528.56139,Sea: sea age,4,671c2d42-2af7-11ee-be56-0242ac120002,08b69af3-1314-4320-ab87-c79bc8143e5b
141709c4-e9ae-477f-b856-953ba1b04cb9,621.4010699,416.1339404,Sea: sea age,6,671c2d42-2af7-11ee-be56-0242ac120002,08b69af3-1314-4320-ab87-c79bc8143e5b
906253e1-7964-4db5-92ca-8d30ed09171d,616.360286,467.0193274,Sea: sea age,5,671c2d42-2af7-11ee-be56-0242ac120002,08b69af3-1314-4320-ab87-c79bc8143e5b
