air_temperature_celsius,auxiliary_equipment,auxiliary_equipment_id,barometer,bottom_salinity,bottom_temp_c,bottom_types,bridge,bridge_note,cloud_coverage_code,created_by,created_by_id,creation_date,crow_distance,cruise,cruise_id,distance_towed,distance_towed_obtained_code,duration,end_date,end_depth_m,end_latitude_DD,end_latitude_MMmm,end_longitude_DD,end_longitude_MMmm,experiment_type,experiment_type_id,fill_percent,force_complete,gear_type,gear_type_id,id,is_active,is_opened,last_modified_by,last_modified_by_id,last_modified_date,light_intensity,light_intensity_id,logging_on,max_depth_m,min_depth_m,nafo_area,operations,port_warp,precipitation,recorder,remarks,sea_state_code,set_number,set_result,set_result_id,ship_direction,ship_speed,ship_speed_obtained_code,shrimp_fishing_unit,shrimp_management,shrimp_management_id,speed,starboard_warp,start_date,start_depth_m,start_latitude_DD,start_latitude_MMmm,start_longitude_DD,start_longitude_MMmm,station_number,stratum,swell_direction,swell_height_code,swell_period_code,temp_logger_number,tide_direction_code,track_distance,trap_number,trawl_cable_length,trawl_opening,trawl_retention_cable,trawling_unit,uuid,warp_units_code,wave_height,wave_period_code,weather_code,wind_direction_code,wind_direction_degree,wind_force_code,wind_force_kts
,,,,,,,,,,eliane,27,2023-06-20 14:42:40 UTC,,2023 Rock Crab Trap Survey (X023),57,,,1114.63,2023-06-21 09:23:20 UTC,,46,,-64,,,,,No,22 - Scientific rock crab conical traps (25 mm mesh knot to knot),4,344,No,No,eliane,27,2023-06-21 09:33:36 UTC,,,Yes,,,None,Fishing,,,,,,1,1 - NORMAL - No damage to gear,1,,,,,,,0.0,,2023-06-20 14:48:42 UTC,,46,,-64,,2408,,,,,,,,5191,,,,,5391c1c2-acd0-399e-87cc-172c466af7d3,,,,,,,,
,,,,,,,,,,eliane,27,2023-06-20 14:49:17 UTC,,2023 Rock Crab Trap Survey (X023),57,,,1126.7,2023-06-21 09:41:42 UTC,,46,,-64,,,,,No,22 - Scientific rock crab conical traps (25 mm mesh knot to knot),4,345,No,No,eliane,27,2023-06-21 09:50:26 UTC,,,Yes,,,None,Fishing,,,,"Stop button does not work here...take the start coordinates:4650.596,-6416.652 
Time good.",,2,1 - NORMAL - No damage to gear,1,,,,,,,0.5,,2023-06-20 14:55:00 UTC,,46,,-64,,2464,,,,,1,,,5192,,,,,2493ecaa-eca5-3243-9135-2a2a61b25c4d,,,,,,,,
,,,,,,,,,,eliane,27,2023-06-20 14:55:45 UTC,0.03478503299668033,2023 Rock Crab Trap Survey (X023),57,,,1131.0,2023-06-21 09:51:54 UTC,,46,49.40960000000002,-64,18.405009999999795,,,,No,22 - Scientific rock crab conical traps (25 mm mesh knot to knot),4,346,No,No,eliane,27,2023-06-21 18:04:47 UTC,,,Yes,,,None,Fishing,,,,,,3,1 - NORMAL - No damage to gear,1,,,,,,,0.0,,2023-06-20 15:00:54 UTC,,46,49.39991000000009,-64,18.453740000000106,2522,,,,,,,78.65997967286845,5193,,,,,a76d6901-fab2-3fd3-9320-790055ee0648,,,,,,,,
,,,,,,,,,,eliane,27,2023-06-20 15:01:30 UTC,,2023 Rock Crab Trap Survey (X023),57,,,1132.2,2023-06-21 10:00:29 UTC,,46,,-64,,,,,No,22 - Scientific rock crab conical traps (25 mm mesh knot to knot),4,347,No,No,eliane,27,2023-06-21 10:06:50 UTC,,,Yes,,,None,Fishing,,,,,,4,1 - NORMAL - No damage to gear,1,,,,,,,2.02,,2023-06-20 15:08:17 UTC,,46,,-64,,2577,,,,,,,,5194,,,,,a9087bf1-a80e-3c4e-a72b-11902cbf7519,,,,,,,,
,,,,,,,,,,eliane,27,2023-06-20 15:08:32 UTC,0.031116665896230526,2023 Rock Crab Trap Survey (X023),57,,,1136.83,2023-06-21 10:11:03 UTC,,46,46.85388999999996,-64,22.02738000000051,,,,No,22 - Scientific rock crab conical traps (25 mm mesh knot to knot),4,348,No,No,eliane,27,2023-06-21 18:05:57 UTC,,,Yes,,,None,Fishing,,,,,,5,1 - NORMAL - No damage to gear,1,,,,,,,0.0,,2023-06-20 15:14:13 UTC,,46,46.83279999999989,-64,22.060679999999895,2632,,,,,,,78.61121102066832,5195,,,,,bd19ed6e-85f1-30d2-a9b1-d0f60fbc74f0,,,,,,,,
,,,,,,,,,,eliane,27,2023-06-20 15:14:33 UTC,0.00812204988146934,2023 Rock Crab Trap Survey (X023),57,,,1139.22,2023-06-21 10:20:12 UTC,,46,45.53575000000031,-64,23.93223999999997,,,,No,22 - Scientific rock crab conical traps (25 mm mesh knot to knot),4,349,No,No,eliane,27,2023-06-21 10:26:46 UTC,,,Yes,,,None,Fishing,,,,,,6,,,,,,,,,0.0,,2023-06-20 15:20:59 UTC,,46,45.532090000000125,-64,23.942799999999988,2685,,,,,2,,78.46464609199488,5196,,,,,e0cd77ac-0ce7-3b74-8d6f-a3d3aa60e520,,,,,,,,
,,,,,,,,,,eliane,27,2023-06-20 15:21:29 UTC,0.017544031966600475,2023 Rock Crab Trap Survey (X023),57,,,1142.03,2023-06-21 10:30:00 UTC,,46,46.843929999999816,-64,25.675679999999797,,,,No,22 - Scientific rock crab conical traps (25 mm mesh knot to knot),4,350,No,No,eliane,27,2023-06-21 10:34:30 UTC,,,Yes,,,None,Fishing,,,,,,7,,,,,,,,,0.0,,2023-06-20 15:27:58 UTC,,46,46.857769999999924,-64,25.691349999999996,2634,,,,,,,78.36512910294856,5197,,,,,d6f1272b-c6d7-351a-9ff8-7e2c7c8b995f,,,,,,,,
,,,,,,,,,,eliane,27,2023-06-20 15:28:20 UTC,0.024072121460620065,2023 Rock Crab Trap Survey (X023),57,,,1143.45,2023-06-21 10:38:36 UTC,,46,48.07991999999989,-64,23.937890000000092,,,,No,22 - Scientific rock crab conical traps (25 mm mesh knot to knot),4,351,No,No,eliane,27,2023-06-21 10:43:35 UTC,,,Yes,,,None,Fishing,,,,,,8,,,,,,,,,0.0,,2023-06-20 15:35:09 UTC,,46,48.05754000000015,-64,23.950670000000294,2579,,,,,,,79.25748258904585,5198,,,,,40e080a0-bee0-3b97-a8bb-2f27245a2380,,,,,,,,
,,,,,,,,,,eliane,27,2023-06-20 15:35:55 UTC,0.0197172343571694,2023 Rock Crab Trap Survey (X023),57,,,1143.55,2023-06-21 10:47:46 UTC,,46,49.38183999999989,-64,22.095310000000367,,,,No,22 - Scientific rock crab conical traps (25 mm mesh knot to knot),4,352,No,No,eliane,27,2023-06-21 10:52:13 UTC,,,Yes,,,None,Fishing,,,,,,9,,,,,,,,,0.0,,2023-06-20 15:44:13 UTC,,46,49.362849999999646,-64,22.087749999999748,2524,,,,,,,78.21665322673869,5199,,,,,431d412b-4eaf-3889-a87a-4b8ffc226aed,,,,,,,,
,,,,,,,,,,eliane,27,2023-06-20 15:44:38 UTC,0.01600540290307021,2023 Rock Crab Trap Survey (X023),57,,,1145.58,2023-06-21 10:55:45 UTC,,46,50.59417000000006,-64,20.355889999999878,,,,No,22 - Scientific rock crab conical traps (25 mm mesh knot to knot),4,353,No,No,eliane,27,2023-06-21 11:01:41 UTC,,,Yes,,,None,Fishing,,,,,,10,,,,,,,,,0.0,,2023-06-20 15:50:10 UTC,,46,50.57933999999999,-64,20.364580000000327,2466,,,,,3,,78.6511399508335,5200,,,,,9fa60e43-fffe-3e62-830d-2608ce475f51,,,,,,,,
