,set_number,start_date,end_date,start_latitude,start_longitude,end_latitude,end_longitude,id
0,1,2023-06-20 14:48:42+00:00,2023-06-21 09:23:20+00:00,,,,,344
1,2,2023-06-20 14:55:00+00:00,2023-06-21 09:41:42+00:00,,,,,345
2,3,2023-06-20 15:00:54+00:00,2023-06-21 09:51:54+00:00,46.823331833333334,-64.30756233333334,46.82349333333333,-64.30675016666666,346
3,4,2023-06-20 15:08:17+00:00,2023-06-21 10:00:29+00:00,,,,,347
4,5,2023-06-20 15:14:13+00:00,2023-06-21 10:11:03+00:00,46.780546666666666,-64.367678,46.78089816666667,-64.367123,348
5,6,2023-06-20 15:20:59+00:00,2023-06-21 10:20:12+00:00,46.758868166666666,-64.39904666666666,46.758929166666675,-64.39887066666667,349
6,7,2023-06-20 15:27:58+00:00,2023-06-21 10:30:00+00:00,46.780962833333334,-64.42818916666667,46.78073216666667,-64.427928,350
7,8,2023-06-20 15:35:09+00:00,2023-06-21 10:38:36+00:00,46.800959000000006,-64.39917783333334,46.801331999999995,-64.39896483333334,351
8,9,2023-06-20 15:44:13+00:00,2023-06-21 10:47:46+00:00,46.822714166666664,-64.36812916666666,46.82303066666667,-64.36825516666667,352
9,10,2023-06-20 15:50:10+00:00,2023-06-21 10:55:45+00:00,46.842989,-64.33940966666667,46.84323616666667,-64.33926483333333,353
10,11,2023-06-20 15:56:45+00:00,2023-06-21 11:04:09+00:00,46.865008,-64.30801016666666,46.865192666666665,-64.30768766666667,354
11,12,2023-06-20 16:02:39+00:00,2023-06-21 11:13:05+00:00,46.88521983333333,-64.27881666666667,46.885268833333335,-64.278832,355
12,13,2023-06-20 16:09:07+00:00,2023-06-21 11:22:11+00:00,46.9066905,-64.30941583333333,46.9068955,-64.308912,356
13,14,2023-06-20 16:16:24+00:00,2023-06-21 11:30:35+00:00,46.88417883333334,-64.34038383333333,46.88457166666666,-64.3394975,357
14,15,2023-06-20 16:22:09+00:00,2023-06-21 11:38:10+00:00,46.86525900000001,-64.36729516666666,46.86543616666667,-64.366381,358
15,16,2023-06-20 16:28:05+00:00,2023-06-21 11:48:09+00:00,46.84685383333333,-64.39151683333333,46.84229416666667,-64.39845016666666,359
16,17,2023-06-20 16:35:51+00:00,2023-06-21 11:56:32+00:00,46.82214900000001,-64.4281965,46.821985833333336,-64.42770466666667,360
17,18,2023-06-20 16:42:44+00:00,2023-06-21 12:06:23+00:00,46.79976116666667,-64.46091083333333,46.79965966666666,-64.460604,361
18,19,2023-06-20 16:49:28+00:00,2023-06-21 12:15:41+00:00,46.8211225,-64.49063616666666,46.82077183333333,-64.49016016666667,362
19,20,2023-06-20 16:56:07+00:00,2023-06-21 12:25:48+00:00,46.84174433333333,-64.4606145,46.84151466666667,-64.46054216666667,363
20,21,2023-06-20 17:02:30+00:00,2023-06-21 12:35:08+00:00,46.8645895,-64.4286345,46.864222833333336,-64.42870983333333,364
21,22,2023-06-20 17:07:59+00:00,2023-06-21 12:43:36+00:00,46.88390799999999,-64.40114916666667,46.88356433333333,-64.40112016666667,365
22,23,2023-06-20 17:15:15+00:00,2023-06-21 12:52:38+00:00,46.906354666666665,-64.36918816666666,46.90618383333333,-64.369285,366
23,24,2023-06-20 17:20:40+00:00,2023-06-21 13:01:01+00:00,46.925735333333336,-64.341199,46.925799,-64.3411665,367
24,25,2023-06-20 17:30:01+00:00,2023-06-21 13:12:17+00:00,46.925413166666665,-64.4010745,46.925117166666666,-64.401226,368
25,26,2023-06-20 17:36:47+00:00,2023-06-21 13:20:38+00:00,46.905343333333334,-64.43085666666667,46.905125,-64.43077866666667,369
26,27,2023-06-20 17:43:56+00:00,2023-06-21 13:30:56+00:00,46.883498333333335,-64.4601995,46.883182,-64.45988333333334,370
27,28,2023-06-20 17:50:28+00:00,2023-06-21 13:40:05+00:00,46.8626875,-64.49115533333334,46.86259149999999,-64.4909655,371
28,29,2023-06-20 17:57:03+00:00,2023-06-21 13:49:02+00:00,46.84092016666666,-64.52232583333333,46.840803333333334,-64.52209333333333,372
29,30,2023-06-20 18:03:15+00:00,2023-06-21 13:57:40+00:00,46.86284366666667,-64.55109283333333,46.86234133333333,-64.55098333333333,373
30,31,2023-06-20 18:09:12+00:00,2023-06-21 14:05:50+00:00,46.88241566666666,-64.52307783333333,46.88208233333334,-64.52315266666666,374
31,32,2023-06-20 18:15:46+00:00,2023-06-21 14:14:55+00:00,46.905434166666666,-64.49051816666666,46.90505883333334,-64.490698,375
32,33,2023-06-20 18:21:41+00:00,2023-06-21 14:24:40+00:00,46.92516416666667,-64.462099,46.92478833333333,-64.4626225,376
33,34,2023-06-20 18:27:53+00:00,2023-06-21 14:37:45+00:00,46.94767850000001,-64.430002,46.9472525,-64.43043666666667,377
34,35,2023-06-20 18:37:08+00:00,2023-06-21 14:50:14+00:00,46.946492666666664,-64.4920625,46.94620533333333,-64.492175,378
35,36,2023-06-20 18:43:41+00:00,2023-06-21 15:00:39+00:00,46.92484283333334,-64.52311433333334,46.92448866666666,-64.5230445,379
36,37,2023-06-20 18:49:44+00:00,2023-06-21 15:09:09+00:00,46.903854333333335,-64.551966,46.90360033333333,-64.55136216666666,380
37,38,2023-06-21 09:24:47+00:00,2023-06-22 09:17:44+00:00,46.86590833333333,-64.246203,46.866108833333335,-64.24572983333333,381
38,39,2023-06-22 09:23:34+00:00,2023-06-22 09:23:40+00:00,46.85601,-64.26467266666667,46.855967833333324,-64.2647095,382
39,40,2023-06-21 09:53:14+00:00,2023-06-22 09:37:26+00:00,46.82328783333333,-64.3067255,46.823377666666666,-64.30628916666667,383
40,41,2023-06-21 10:03:03+00:00,2023-06-22 09:46:36+00:00,46.80114916666667,-64.3373855,46.801306833333335,-64.33703683333333,384
41,42,2023-06-21 10:12:20+00:00,2023-06-22 09:57:00+00:00,46.78073,-64.36692883333333,46.780936833333335,-64.3663395,385
42,43,2023-06-21 10:21:47+00:00,2023-06-22 10:06:02+00:00,46.758851500000006,-64.39891916666667,46.7589755,-64.39883783333333,386
43,44,2023-06-21 10:31:22+00:00,2023-06-22 10:17:40+00:00,46.780752666666665,-64.42803816666667,46.7811705,-64.428102,387
44,45,2023-06-21 10:40:04+00:00,2023-06-22 10:28:03+00:00,46.801164666666665,-64.3989345,46.801162999999995,-64.39855433333334,388
45,46,2023-06-21 10:49:07+00:00,2023-06-22 10:37:28+00:00,46.822863166666664,-64.36826183333334,46.8231555,-64.36780866666666,389
46,47,2023-06-21 10:57:08+00:00,2023-06-22 10:48:14+00:00,46.84331983333333,-64.339418,46.8436275,-64.33935016666666,390
47,48,2023-06-21 11:05:46+00:00,2023-06-22 10:58:24+00:00,46.865072,-64.30743483333333,46.865201166666665,-64.30704933333334,391
48,49,2023-06-21 11:14:13+00:00,2023-06-22 11:07:11+00:00,46.885072,-64.27875466666667,46.885432333333334,-64.27845333333333,392
49,50,2023-06-21 11:22:57+00:00,2023-06-22 11:16:41+00:00,46.906761,-64.3087685,46.90713016666667,-64.30864716666666,393
50,51,2023-06-21 11:31:38+00:00,2023-06-22 11:25:02+00:00,46.8843975,-64.339347,0.0,-0.0,394
51,52,2023-06-21 11:39:32+00:00,2023-06-22 11:34:08+00:00,46.865221,-64.36625616666667,46.86525316666667,-64.36582666666666,395
52,53,2023-06-21 11:49:51+00:00,2023-06-22 11:43:45+00:00,46.842127166666664,-64.398327,46.84229916666667,-64.39829966666667,396
53,54,2023-06-21 11:58:08+00:00,2023-06-22 11:52:13+00:00,46.8222395,-64.427487,46.82185883333333,-64.427493,397
54,55,2023-06-21 12:08:00+00:00,2023-06-22 12:00:49+00:00,46.79983766666667,-64.46042516666667,46.79942116666667,-64.460444,398
55,56,2023-06-21 12:16:59+00:00,2023-06-22 12:09:15+00:00,46.82078383333333,-64.49006016666667,46.820387333333336,-64.490147,399
56,57,2023-06-21 12:27:10+00:00,2023-06-22 12:18:49+00:00,46.84153083333333,-64.46068,46.841234,-64.460723,400
57,58,2023-06-21 12:36:46+00:00,2023-06-22 12:28:21+00:00,46.86423883333333,-64.42877866666667,46.86393116666667,-64.42888933333333,401
